threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),highlight,res_id,js-response,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,js-ng-setting href,js-response href
"垢版
|
0052 名無しどんぶらこ 2025/11/27(木) 22:37:41.06",人道支援として支那畜全員の祖国帰国事業を始めよう,,,,,,ID:d8mF1BrY0,,,,,
"垢版
|
0053 名無しどんぶらこ 2025/11/27(木) 22:37:42.01",へずま（やらせ）の動画流せば信じるんちゃうか,,,,,,ID:4ET+KQI30,,,,,
"垢版
|
0054 名無しどんぶらこ 2025/11/27(木) 22:37:50.38",ネトウヨってどこでも侮辱と暴言しか吐いてないじゃん　やってるよ,,,,,,ID:Y7tx2t8j0,,,,,
"垢版
|
0055 名無しどんぶらこ 2025/11/27(木) 22:38:05.25","これほど信頼の高い情報はないなあ
日本のオールドメディアって嘘つきだし
日本が危険な国と世界中に知れ渡ってしまったよ",,,,,,ID:WBQACc5q0(2/6),1,,,,
"垢版
|
0056 名無しどんぶらこ 2025/11/27(木) 22:38:20.93","日本は良識と節度が強すぎるので
こういう欺瞞と扇動だらけの認知戦できないんだよな",,,,,,ID:8sC/PdNO0,,,,,
"垢版
|
0057 名無しどんぶらこ 2025/11/27(木) 22:38:21.40","渡航禁止にすりゃいいのに
何期待してんだよきんぺー",,,,,,ID:02i+upWi0(1/2),,,,,
"垢版
|
0058 名無しどんぶらこ 2025/11/27(木) 22:38:37.42",">>1
デマと人権蹂躙、虐殺の王朝、それが中共政権(　ﾟдﾟ)､ﾍﾟｯ",,>>1,,,,ID:AbziCg8K0,,,,,
"垢版
|
0059 名無しどんぶらこ 2025/11/27(木) 22:38:48.41",修羅の国日本に来る理由が無くなったな,,,,,,ID:meFfSyG20(1/4),1,,,,
"垢版
|
0060 名無しどんぶらこ 2025/11/27(木) 22:38:55.31",効いてますけどもっとお願いしますｗｗｗ,,,,,,ID:IVqCSOEa0(1/2),,,,,
"垢版
|
0061 名無しどんぶらこ 2025/11/27(木) 22:38:55.92","おいおい…中国が日本に旅行してくれないとマジ日本立ち行かなくなるぞ
今からでも遅くないから首相なりが謝罪に行くべきやろ",,,,,,ID:9jMPQBxA0,,,,,
"垢版
|
0062 名無しどんぶらこ 2025/11/27(木) 22:38:58.18",大朝鮮の被害者ポゼッションちょっと感激w,,,,,,ID:NX9YQzVL0,,,,,
"垢版
|
0063 名無しどんぶらこ 2025/11/27(木) 22:38:58.27","てか毎年一万人　帰化させてるから
この20年で20万は中国人が増えたわけだ

嫌儲という板を中国人だけで回せるくらい入れてるって
自民党がサイレントインベージョンの片棒担いでるのよ",,,,,,ID:nqLNhRM+0(1/3),,,,,
"垢版
|
0064 名無しどんぶらこ 2025/11/27(木) 22:38:59.98","もう良いよ今日本に残ってる中国人は
中国から見たら日本に情報売ってるスパイ
日本から見たら中国に情報売ってるスパイとして扱ってしまえ",,,,,,ID:n1UsU4a+0,,,,,
"垢版
|
0065 名無しどんぶらこ 2025/11/27(木) 22:39:10.05","自民党が何万人も帰化させてるから5ch．netが五毛だらけ
スレ建て人も五毛ばかりっていうね",,,,,,ID:nqLNhRM+0(2/3),1,,,,
"垢版
|
0066 名無しどんぶらこ 2025/11/27(木) 22:39:22.22",まあおまえらは共犯者だよね 笑,,,,,,ID:QHT3oKLn0,,,,,
"垢版
|
0067 名無しどんぶらこ 2025/11/27(木) 22:39:30.08",">>34
別にいいだろ
規制されない方が異常だ",,>>34,,,,ID:qojke+fj0(3/8),,,,,
"垢版
|
0068 名無しどんぶらこ 2025/11/27(木) 22:39:30.96","再警告だから多少は効果あるんだろうな
しかし日本人に嫌われてるなw
って日本だけではないが
とりあえず銀座の裏通りの街路樹で子供に野糞させるなw",,,,,,ID:/+86CisX0(2/2),,,,,
"垢版
|
0069 名無しどんぶらこ 2025/11/27(木) 22:40:02.67",">>50
これをみてみよう！
https://www.mofa.go..../ranking/kaigai.html",https://www.mofa.go.jp/mofaj/kids/ranking/kaigai.html,https://www.mofa.go..../ranking/kaigai.html,,>>50,,ID:gC5F480J0(2/5),,,,,
"垢版
|
0070 名無しどんぶらこ 2025/11/27(木) 22:40:11.21",どこでだよwww,,,,,,ID:Itag6KwF0,,,,,
"垢版
|
0071 名無しどんぶらこ 2025/11/27(木) 22:40:11.95","こんな事やってないでさっさと反日デモをやれや
中共主催のしょうもない官製デモをなw",,,,,,ID:gj20ECqD0(2/2),,,,,
"垢版
|
0072 名無しどんぶらこ 2025/11/27(木) 22:40:26.37","なんだろな
最近韓国を好きになってきてる
中国のせいだろうかw",,,,,,ID:ogaFJpJm0,1,,,,
"垢版
|
0073 名無しどんぶらこ 2025/11/27(木) 22:40:31.29",">>1
禁止しろよ
下等生物はいらない",,>>1,,,,ID:dWnI1E8s0,,,,,
"垢版
|
0074 名無しどんぶらこ 2025/11/27(木) 22:40:35.72","侮辱で負傷した！賠償アル！

アホか",,,,,,ID:kciDhrV40,,,,,
"垢版
|
0075 名無しどんぶらこ 2025/11/27(木) 22:40:38.98",弟キムチランドにも嫌われるとは基地すぎるわ,,,,,,ID:KmKEkr5/0,,,,,
"垢版
|
0076 名無しどんぶらこ 2025/11/27(木) 22:40:48.96",春節には日本に来ないでくださいね。,,,,,,ID:/wYKQIsH0(1/2),,,,,
