threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),js-ng-setting href,js-response href
"垢版
|
0034 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:52:39.29",">>32

流石にそこまでには成らんと思うが、野党第一党からは外れて欲しいよね",,>>32,,ID:8vwXJWbk(3/30),1,,,
"垢版
|
0035 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:52:40.37",タダのうるさいヤジ親父、何も知らない政治の素人やん,,,,ID:1uQdiB+p,,,,
"垢版
|
0036 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:52:43.79",">>17
皮肉じゃなかったの草",,>>17,,ID:Q2RQmbWE,,,,
"垢版
|
0037 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:52:49.12",">>32
支持母体がデカいから残るでしょ
どれだけ残るか知らないけど",,>>32,,ID:X7EEH1n3(2/4),1,,,
"垢版
|
0038 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:52:59.68",>>28　「外野からヤジ飛ばしてるほうが楽しいんだいｗ」,,>>28,,ID:ItWPob3N,,,,
"垢版
|
0039 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:53:10.92","就任早々この短期間で、ここまで日本の安全保障環境を悪化させ、経済不安を増大させる総理というのも珍しい。
総理の一言でここまでこじれる。だからこそ総理には高い見識と能力が求められる。
以前から言うように高市総理は極めて危うい。皆がしっかりしないと取り返しがつかないことになる。",,,8,ID:wsegI0iV(1/9),,,,
"垢版
|
0040 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:54:00.78",">>39
その皆って誰の事？",,>>39,,ID:OzjwGCxj,,,,
"垢版
|
0041 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:54:00.96","最近Xでの流行りは立憲の鎌田さおり
https://i.imgur.com/b4alg2F.jpeg",https://i.imgur.com/b4alg2F.jpeg,https://i.imgur.com/b4alg2F.jpeg,,ID:/WNvYDme(4/6),1,,,
"垢版
|
0042 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:54:08.89",">>39
高市総理を諌める人が周りにいたらいいんですがね??",,>>39,,ID:8mwoT5GX(3/8),,,,
"垢版
|
0043 Mr. マデュース(排害主義者)?ワ? ◆50BMG/xM5InT 2025/11/22(土) 08:54:36.36","おでけけ諦めるべきか………

ドライブ欲は夜に満たすしかないか",,,,ID:Th4YiGgV(2/3),,,,
