threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),js-ng-setting href,js-response href
"垢版
|
0243 名無しどんぶらこ 2025/11/27(木) 22:28:57.52","そんなことよりもー
そんなことよりもー
ウチがウチらしくあるためにー
台湾有事は存立危機と　言える気持ち　抱き締めてたい
そんなことよりもー
そんなことよりもー
迷い探し続ける日々が　答えになること
ウチは知ってるから",,,,ID:6tus3Khb0(7/16),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0244 名無しどんぶらこ 2025/11/27(木) 22:29:02.09",きっしょ,,,,ID:grWnMD/30,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0245 名無しどんぶらこ 2025/11/27(木) 22:29:25.56",高市は失言製造機だから大変だなぁ,,,,ID:EdQhYEE40(2/3),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0246 名無しどんぶらこ 2025/11/27(木) 22:29:34.89",">>1
うん、あれは聞いててひどいと思った
まず質問に答えなきゃ
それせずに「そんなことより」って言ってたよな
あーこれマズいなあって見てて思った
高市は嫌いじゃないけど、ちょっとバカすぎね？
ここまで言葉が軽いのはトップの器としてどうなのか",,>>1,,ID:if4UgSPB0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0247 名無しどんぶらこ 2025/11/27(木) 22:29:37.47",">>238
そんなことより首脳会談の捏造するなよｗｗｗ

なにが「日米の緊密な連携を確認しました」だｗｗｗ

おまえ、捏造だぞ、これ？ｗｗｗ

一国の首相がやることなのかよ、おい？ｗｗｗ",,>>238,,ID:rB++sN9I0(21/50),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0248 名無しどんぶらこ 2025/11/27(木) 22:29:42.56","茂木に木原に外務省
高市さんの尻拭きに奔走してるなあ
トランプにオムツ履かせられるわけだ",,,,ID:lF20SI+P0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0249 名無しどんぶらこ 2025/11/27(木) 22:29:44.17","おいおい
言い訳になってないやん
話題を勝手に変えるなよ、糞ババア",,,,ID:s4S+QN4n0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0250 名無しどんぶらこ 2025/11/27(木) 22:29:55.93",">>1
この状況での「そんなことよりも」は、質問者（野田氏）にとって強い否定と怒りを引き起こします。

野田氏側の感情：

軽視・怒り: 重要な「企業・団体献金の実態把握」という論点を、「そんなこと」と切り捨てられたと感じ、強い不満や怒りを覚えます。

不信感: 質問への正面回答を拒否し、自分に有利な**「定数削減」へ強引に【論点をすり替え】**ようとする不誠実な姿勢に、政治家としての不信感を抱きます。

高市総理大臣の意図：

質問された献金問題への追及を回避し、自らが望むテーマ（定数削減）へ議論を強引に転換する目的で使われた、政治的な拒絶の言葉です。",,>>1,,ID:6PbBw7/k0(2/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0251 名無しどんぶらこ 2025/11/27(木) 22:30:23.08",何がそんなことよりだよ　ふざけるな,,,,ID:Y7tx2t8j0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0252 名無しどんぶらこ 2025/11/27(木) 22:30:24.10","はぁ？
立憲のカスの話なんか何一つマトモに取り合ってやる必要なんかねえんだよ",,,,ID:omMufteR0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0253 名無しどんぶらこ 2025/11/27(木) 22:30:30.83",">>243
何故か思い浮かぶけどゴロが悪いからやらなかったのに",,>>243,,ID:+pGVmRJY0(3/9),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0254 名無しどんぶらこ 2025/11/27(木) 22:30:55.07",">>249
裁判なら、裁判長が「被告はきちんと聞かれたことに答えるように」って指導されるんだけどなｗ",,>>249,,ID:rB++sN9I0(22/50),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0255 名無しどんぶらこ 2025/11/27(木) 22:31:07.59",急いで話を転換しなきゃならん程政治と金の問題は都合が悪いと言うことか,,,,ID:XBixs9z50,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0256 名無しどんぶらこ 2025/11/27(木) 22:31:18.92",">>245
いやいや高市と木原は双璧だろう
何事もないところから問題を引き起こす

言えるのはどちらも弱し
弱すぎる",,>>245,,ID:4AIEXEZ80(3/10),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0257 名無しどんぶらこ 2025/11/27(木) 22:31:21.44","そんなことよりママこれどう思う？
という小さい子供の切り返し

が流行るようになる我が国",,,,ID:Z9yU9KUl0(4/8),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0258 名無しどんぶらこ 2025/11/27(木) 22:31:28.25",全国に中継されてるの知らないのかな,,,,ID:BCmdGQHg0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0259 名無しどんぶらこ 2025/11/27(木) 22:31:29.56",">>255
そりゃそうだよｗ
裏金売女だもんｗ",,>>255,,ID:rB++sN9I0(23/50),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0260 名無しどんぶらこ 2025/11/27(木) 22:31:30.87",安倍よりひどいやつがいるとは思わなかった,,,,ID:Rd8IWW2I0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0261 名無しどんぶらこ 2025/11/27(木) 22:31:55.92",そんなことより消費税減税,,,,ID:uor1fb220(1/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0262 名無しどんぶらこ 2025/11/27(木) 22:32:11.16",">>257
少子化進んでるけど、嫁が旦那に言われていらっとくる言葉上位やからね",,>>257,,ID:6tus3Khb0(8/16),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0263 名無しどんぶらこ 2025/11/27(木) 22:32:16.52","ちょっと高市言葉の使い方が不自由というか下品
相手の発言の趣旨を理解出来ていない
存立危機発言も岡田が「台湾救援米軍が攻撃された場合」と聞いているのに
バカ市は「中国の戦艦に台湾が武力攻撃されたら日本の存立危機事態になり得る」と発言
ピョンピョンしてるから頓珍漢なんだよ",,,,ID:Njq8hZve0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0264 名無しどんぶらこ 2025/11/27(木) 22:32:22.41",そんなことより米の値段だろ,,,,ID:SvHfJPwg0(1/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0265 名無しどんぶらこ 2025/11/27(木) 22:32:27.54",">>260

つか、もう「より」とか以前で、前代未聞だよ、高市早苗は。
首脳会談の内容をでっちあげる、なんて空前絶後だよｗ",,>>260,,ID:rB++sN9I0(24/50),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0266 名無しどんぶらこ 2025/11/27(木) 22:32:29.89",勢いとはおそろしい「いちゃもんつけてるヤツ、ちまちましたこと言ってんじゃねえ」という感想しかない,,,,ID:qc7ewPUY0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0267 名無しどんぶらこ 2025/11/27(木) 22:33:12.73","過去にも金利を上げるのはアホとか発言してるし、自由に喋らすとボロが出るタイプの人なんだろうなw
そういえば森元の部下だったよな、高市さん
失言癖も森元譲りなのかなw",,,,ID:m2P+Ix650(1/2),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0268 名無しどんぶらこ 2025/11/27(木) 22:33:25.77",">>263
奈良だとアレが普通なんじゃないのか？w
奈良ってそういう人たちに集まりなんだって納得してたんだが",,>>263,,ID:6tus3Khb0(9/16),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0269 名無しどんぶらこ 2025/11/27(木) 22:34:01.96",だいたい維新に言われるまで定数削減なんて気にもしてなかったくせに,,,,ID:KjyJAHl80(2/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0270 名無しどんぶらこ 2025/11/27(木) 22:34:08.30",">>246
お前らとは約束してないけど進めてるって答えてたぞ
その後でお前が総理だったときの約束どうすんのって返してるわけで",,>>246,,ID:lgMyv5vh0(2/11),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0271 名無しどんぶらこ 2025/11/27(木) 22:34:11.19",オールドメディアにネタ提供してあげたんだから感謝しろ,,,,ID:qtMuJI3k0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0272 名無しどんぶらこ 2025/11/27(木) 22:34:15.05","これ口癖だとすると外交でも言いかねんぞ
通訳がビクッとしてフリーズするヤツ",,,,ID:+pGVmRJY0(4/9),2,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0273 名無しどんぶらこ 2025/11/27(木) 22:34:16.25",ごみじみんが賄賂献金はよ禁止しろ,,,,ID:I+OOHClA0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0274 名無しどんぶらこ 2025/11/27(木) 22:34:18.50",">>267
ただ、自由に喋らせまいとしてもカンペもなにも放り投げるからなあｗｗｗ

もうこうなると、しつけの問題なんだよなあｗ",,>>267,,ID:rB++sN9I0(25/50),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0275 名無しどんぶらこ 2025/11/27(木) 22:34:21.08",優先順位は大事,,,,ID:sy1QYjxe0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0276 名無しどんぶらこ 2025/11/27(木) 22:34:24.68",さんざん揚げ足取りされて来たんだから言いたくもなるだろ,,,,ID:rYKzZkx70(1/2),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0277 名無しどんぶらこ 2025/11/27(木) 22:35:01.21",明石家さんまも奈良だし、奈良ってこういうノリなんだろうw,,,,ID:m2P+Ix650(2/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0278 名無しどんぶらこ 2025/11/27(木) 22:35:02.20",">>276
揚げ足ってｗｗｗ
捏造されて指摘されるのは、揚げ足取りじゃないだろｗ
お前は中国人かｗｗｗ",,>>276,,ID:rB++sN9I0(26/50),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0279 名無しどんぶらこ 2025/11/27(木) 22:35:04.08",">>272
すでにトランプ相手にやってそうだけどなw",,>>272,,ID:6tus3Khb0(10/16),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0280 名無しどんぶらこ 2025/11/27(木) 22:35:04.35","実際そんなことなんだよな
いつまでやってんねん",,,,ID:F/TW97Jv0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0281 名無しどんぶらこ 2025/11/27(木) 22:35:15.95",裏金早苗ちゃん,,,,ID:XmYaWLD80,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0282 名無しどんぶらこ 2025/11/27(木) 22:35:27.66",">>280
そうだよ。
今すぐ辞任すべきだよなｗ",,>>280,,ID:rB++sN9I0(27/50),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0283 名無しどんぶらこ 2025/11/27(木) 22:35:30.59","高市首相の失言を擁護し続けるのは
国益に反するとはっきりわかる",,,,ID:Z9yU9KUl0(5/8),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0284 名無しどんぶらこ 2025/11/27(木) 22:35:35.67",あまり考えないんだろうな,,,,ID:bE4ItAuR0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0285 名無しどんぶらこ 2025/11/27(木) 22:35:39.77",高市と上島は友達なんだろ,,,,ID:8YnNl+260,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0286 名無しどんぶらこ 2025/11/27(木) 22:35:51.25","統一教会
「軽い神輿とは言ったが、軽さにも程があるだろ！」",,,,ID:/LyxTBmZ0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0287 名無しどんぶらこ 2025/11/27(木) 22:35:51.75",もう揚げ足取りばっかりだな。,,,,ID:NnVxQ4Y10,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0288 名無しどんぶらこ 2025/11/27(木) 22:35:58.71","でも定数削減もやらねえだろこいつ
ふざけた総理だ",,,,ID:HhYOYCJ60(1/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0289 名無しどんぶらこ 2025/11/27(木) 22:36:03.45",">>284

まあ、いわゆる脊髄反射なんだろうね。

ほぼほぼメンヘラ",,>>284,,ID:rB++sN9I0(28/50),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0290 名無しどんぶらこ 2025/11/27(木) 22:38:05.86",失言超特急辞任婆壺市大姉,,,,ID:kmsZnBZG0(1/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0291 名無しどんぶらこ 2025/11/27(木) 22:38:21.27","そんなことよりも改革の会を取り込んで与党が過半数になったぞｗ

【独自】与党、衆院で過半数に　改革の会3人、自民会派へ
https://news.yahoo.c...deb9c8a4f93a60a78433",https://news.yahoo.co.jp/articles/8c923f21a3244fdc2208deb9c8a4f93a60a78433,https://news.yahoo.c...deb9c8a4f93a60a78433,,ID:QAcwuOnC0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0292 名無しどんぶらこ 2025/11/27(木) 22:38:30.09","政治ウォッチャーとしては
もはやくだらねえな
この内閣って評価なんだがｗｗｗ

補正予算案のメニューは反吐がでるほであるし
史上最低内閣じゃないか

宇野宗佑内閣のほうがまだ良い感がある
実質宇野の内閣ではないからなｗ",,,,ID:4AIEXEZ80(4/10),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0293 名無しどんぶらこ 2025/11/27(木) 22:38:46.21",安倍や鳩山の方がマシと思う日が来るなんて,,,,ID:ZBaROXFW0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0294 名無しどんぶらこ 2025/11/27(木) 22:38:58.06",">>272
奈津子先生出番です！
自民党は戸田奈津子雇っておけ",,>>272,,ID:is7gRCG+0(4/7),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0295 名無しどんぶらこ 2025/11/27(木) 22:39:18.75",無能の介護役も無能という笑えない状況になってきたな,,,,ID:FHAwxuUW0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0296 名無しどんぶらこ 2025/11/27(木) 22:39:35.83","2025.11.10
高市首相「NHK党とは組んでいない」 自民は立花党首逮捕のN党参院議員と会派結成 ★3
https://asahi.5ch.ne.../newsplus/1762830591

　↑
超絶嘘吐き（=反日主義者=スパイ朝鮮人/親中派ただの左翼=サイコパス）そうかトーイツ朝鮮（同和）N国玉木前原元彦橋下維新ミン酢百田青山三橋ベクレ宗幣朝鮮外人参政党婆あ",https://asahi.5ch.net/test/read.cgi/newsplus/1762830591,https://asahi.5ch.ne.../newsplus/1762830591,,ID:FG5v4JE10(1/8),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0297 名無しどんぶらこ 2025/11/27(木) 22:39:52.94","高市って国会答弁すればするほどボロが出続けてるよね
政治家に向いてない。",,,,ID:+3V0pm1g0(1/17),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0298 名無しどんぶらこ 2025/11/27(木) 22:39:58.61",そんなことよりもウンコがなぜ臭いか議論しましょう,,,,ID:HhYOYCJ60(2/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0299 名無しどんぶらこ 2025/11/27(木) 22:40:31.18","相手の提案に対してそんなことよりもって返したら失礼だって
わからないものなのか
ガキじゃないんだからさぁ",,,,ID:DlRElFtP0(2/3),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0300 名無しどんぶらこ 2025/11/27(木) 22:40:43.71","どうにか首相発言を肯定しなきゃいけないと
官房長官が出した答えがこれ",,,,ID:Z9yU9KUl0(6/8),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0301 名無しどんぶらこ 2025/11/27(木) 22:40:54.31","トカゲについては俺が水槽に入れて
コオロギを餌に飼っても良い覚悟があるが
そこのところについてはどうだ
ネトウヨ",,,,ID:4AIEXEZ80(5/10),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0302 名無しどんぶらこ 2025/11/27(木) 22:41:03.98",アスペルガーだろうな。,,,,ID:i/IoJZw60,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0303 名無しどんぶらこ 2025/11/27(木) 22:41:33.98",ひどい,,,,ID:mnha1eBz0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0304 名無しどんぶらこ 2025/11/27(木) 22:41:34.19","そういえば野田が総理のとき惨敗して民主党政権を終わらせた衆院選、
当時、党内からも「今そんな天下分け目の選挙をやる資金はない！」と猛反対が起きたが
野田総理が「大丈夫、資金は十分あるから任せろ。資金難で負けるのは自民のほう」
とただ一人悠然と構えていたが、

その自信の裏付けとなった幻の「資金」はどこにあったのだろう？",,,,ID:rYKzZkx70(2/2),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0305 名無しどんぶらこ 2025/11/27(木) 22:42:08.27","サラマンダー定数削減

流石、トカゲ",,,,ID:NwepVbtn0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0306 名無しどんぶらこ 2025/11/27(木) 22:42:12.85","サナちゃんの支持層が良く分からん
自民支持ならさっさと交代させろって思うだろうし
サナちゃんじゃないと駄目なの！って人達は一体何者なんだろうか",,,,ID:/cthYz7n0(2/3),2,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0307 名無しどんぶらこ 2025/11/27(木) 22:42:23.86",普通に会社の会議で議題を突き付けられてる時に「そんなことよりも」って返す人って居るんだろうか？,,,,ID:+3V0pm1g0(2/17),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0308 名無しどんぶらこ 2025/11/27(木) 22:43:04.35",">>306
カルト",,>>306,,ID:2jNTrdxm0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0309 名無しどんぶらこ 2025/11/27(木) 22:43:34.02",">>306
安倍ちゃんの後継者
嫌中",,>>306,,ID:LUesBwEC0,2,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0310 名無しどんぶらこ 2025/11/27(木) 22:43:52.78",木原って普通に統一だから官房長官になれたわけで,,,,ID:V9KndNy70(1/2),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0311 名無しどんぶらこ 2025/11/27(木) 22:43:55.02",発達障害って言葉のチョイス間違ってよくトラブルになるよな,,,,ID:X7VrFVaD0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0312 名無しどんぶらこ 2025/11/27(木) 22:44:10.11","トランプ「中国を挑発するな！」
高市「そんな事より安倍さんのクラブどうですか？」",,,,ID:7E2Nm/X70,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0313 名無しどんぶらこ 2025/11/27(木) 22:44:11.72","なぜどっちかなのか？

言ったことはやれや",,,,ID:sYtDcTRd0(1/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0314 名無しどんぶらこ 2025/11/27(木) 22:44:16.21",">>309
安倍は中国ウェルカムだったけどな",,>>309,,ID:amS1p82X0(1/2),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0315 名無しどんぶらこ 2025/11/27(木) 22:44:28.86",">>307
会議の前提を覆す奴はいる。議論以前の問題。高市の「そんなことより」も同様。",,>>307,,ID:AIM8m+Yo0(1/15),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0316 名無しどんぶらこ 2025/11/27(木) 22:44:29.11",">>304
女トカゲ「そんなことより定数削減の話をしようぜ」
ネトウヨ「そんなことよりミンスの話をしようぜ」

あっ・・・",,>>304,,ID:aNdLAVMk0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0317 名無しどんぶらこ 2025/11/27(木) 22:44:29.41",裏金問題はまた萩生田がやらかしてるから突かれたくなかったんだろ,,,,ID:jyBZgS5P0(1/7),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0318 名無しどんぶらこ 2025/11/27(木) 22:44:30.32","高市の顔に、オムツ被せとけ

トカゲの作り笑いが不気味で、ほとんど放送事故",,,,ID:sn+EBRWu0(2/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0319 名無しどんぶらこ 2025/11/27(木) 22:44:43.95",">>215
何故片方なの？",,>>215,,ID:sYtDcTRd0(2/2),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0320 名無しどんぶらこ 2025/11/27(木) 22:44:59.74",高市って安倍に見限られたゴミなんじゃなかったっけ,,,,ID:/cthYz7n0(3/3),1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0321 名無しどんぶらこ 2025/11/27(木) 22:45:00.70",咄嗟に普段から考えていた思いが口から出たんでしょｗ,,,,ID:fPQ3JH5Y0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0322 名無しどんぶらこ 2025/11/27(木) 22:45:11.33","話題は転換したが話題をそらしたわけではない？
木原は安倍晋三か？",,,,ID:TGJfT86G0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0323 名無しどんぶらこ 2025/11/27(木) 22:45:57.07",">>310
高市が所属する創世「日本」のメンバー
片山さつき、黄川田、コバホーク、萩生田
この辺もそう
https://dec.2chan.ne...2/src/fu5956828.jpeg",https://dec.2chan.net/up2/src/fu5956828.jpeg,https://dec.2chan.ne...2/src/fu5956828.jpeg,,ID:JzS9ThB70(2/5),1,>>310,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0324 名無しどんぶらこ 2025/11/27(木) 22:46:09.47","岸田政権の時も国会答弁で捏造だ
本物なら議員辞職するだとヒステリックに喚き立てた馬鹿女だからな
鹿に台湾問題とこいつが脳みそより先に口が動く考え無しなのはどうにもならんよ",,,,ID:w+hB5L5O0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0325 名無しどんぶらこ 2025/11/27(木) 22:46:11.86","そんなことよりも裏金議員
選挙中にうけとってるｗｗ

萩生田氏側へ衆院選中に寄付　国契約会社、30万円返金へ
https://news.yahoo.c...c95d61dd0552d6e983d2",https://news.yahoo.co.jp/articles/841f03cc9dd24e851086c95d61dd0552d6e983d2,https://news.yahoo.c...c95d61dd0552d6e983d2,,ID:lJ36tTj+0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0326 名無しどんぶらこ 2025/11/27(木) 22:46:12.71","なぜ急いで話題を転換する必要があったのか
↓
都合が悪いから",,,,ID:Z9yU9KUl0(7/8),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0327 名無しどんぶらこ 2025/11/27(木) 22:46:23.98",">>295
どう介護すればいいんだよこんなの",,>>295,,ID:jyBZgS5P0(2/7),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0328 名無しどんぶらこ 2025/11/27(木) 22:46:39.54","あと台湾問題に対してなんであのような答え方をしたんだと問われて「岡田さんがしつこかったから」と答えてたけど
岡田がしつこいから悪いの？じゃあしつこく質問したらなんでも言っちゃうのかよ（笑）",,,,ID:+3V0pm1g0(3/17),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0329 名無しどんぶらこ 2025/11/27(木) 22:46:59.66",">>323
高市支持者は「高市さんの次は小林さんしかいない」って言ってたな",,>>323,,ID:amS1p82X0(2/2),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0330 名無しどんぶらこ 2025/11/27(木) 22:47:04.59",">>300
この話はやめよう ハイ やめやめ
って言いたいところを我慢して・・・
辛いよな泣けるなw",,>>300,,ID:is7gRCG+0(5/7),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
