threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),js-ng-setting href,js-response href
"垢版
|
0802 名無しどんぶらこ 2025/11/28(金) 04:45:15.25",">>786
トラ様「へい、壺市。もっと中国を挑発しろ
型落ち武器を高値で買え」

壺市「ピョンピョン〜♪」

クマぷー「壺市〜〜」",,>>786,,ID:MBNK+bBo0(6/7),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0803 名無しどんぶらこ 2025/11/28(金) 04:45:50.06","与党も野党も互いの裏金の追及に時間を割く国
国民無視",,,,ID:zMb55f9N0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0804 名無しどんぶらこ 2025/11/28(金) 04:45:56.64","まあ立憲の長々持論感想文の後最終的な問いは
実は自分達の要求は入れず逃げ道残した相手に感想求めるだけの本当に時間の無駄でしかない討論の仕方されてちゃ
もっと他の党の議員の様な実のあること言えないの？と皮肉言いたくもなるわな
長年批判政治し過ぎてたせいで責任逃れ答弁癖が抜けきれないらしい",,,,ID:pb7fXw/A0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0805 名無しどんぶらこ 2025/11/28(金) 04:46:29.07",">>801
大本営発表だからなあw",,>>801,,ID:MBNK+bBo0(7/7),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0806 名無しどんぶらこ 2025/11/28(金) 04:47:56.45","普通に国政どう変えてくんだろうって事に関心もって中継みてもいつも裏金の追及してたら逆に立憲の心象悪くなる事くらいわかんないのかな
ほんとお馬鹿な政党です",,,,ID:oP24Q3TS0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0807 名無しどんぶらこ 2025/11/28(金) 04:48:13.21",しかし失態の度に支持率は上がる,,,,ID:zRhevC3X0(1/2),2,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0808 名無しどんぶらこ 2025/11/28(金) 04:48:58.10",">>782
分離独立を宣言したら独立戦争が起こる
当たり前のことだろ
アメリカが独立宣言したとき、イギリスは黙って見てたのか？",,>>782,,ID:LOUSq2eV0(2/3),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0809 名無しどんぶらこ 2025/11/28(金) 04:49:44.68",国民人気が高市無双状態だから反高市勢力は賢く立ち回らないと全部自分の失点になるで,,,,ID:FQolBt8+0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0810 名無しどんぶらこ 2025/11/28(金) 04:53:47.85","補正予算→かえって物価上がる、やらないほうがマシ
日中関係→ズタボロ
日米関係→米国から怒られる
米中関係→米国が中国を国賓として招待、一層強固になる

高市は何をしてもダメ",,,,ID:HQvKdYlW0(4/11),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0811 名無しどんぶらこ 2025/11/28(金) 04:54:42.21","就任1ヶ月で中国やアメリカなど全方位敵だらけ
唯一の拠り所は胡散臭い支持率だけ
本当に誰が支持してんだろうね？",,,,ID:WggvmCV60(5/6),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0812 名無しどんぶらこ 2025/11/28(金) 04:56:11.53",なんとかズムは民主主義を通ってやってきますか？(´・ω・｀),,,,ID:4PkqMlFT0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0813 名無しどんぶらこ 2025/11/28(金) 04:56:58.30",補正予算で円安 株安 債権安 物価高,,,,ID:WggvmCV60(6/6),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0814 名無しどんぶらこ 2025/11/28(金) 04:57:13.63",スパイ防止法を成立させるには党内を分裂させられないだろ,,,,ID:71j4P31R0,1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#
"垢版
|
0815 名無しどんぶらこ 2025/11/28(金) 04:58:12.99","何故か高市を批判すると中国人扱い
高市がやらかして困ってるの日本なのに",,,,ID:nD3G9ZiB0,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
"垢版
|
0816 名無しどんぶらこ 2025/11/28(金) 04:59:36.37",">>768
本当高市はネトウヨみたいだよ",,>>768,,ID:n/ryGr4f0(1/6),,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764247087#,
