threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),threadview_response_body_embedlink href,threadview_response_body_thumbnail src
"垢版
|
0069 名無しどんぶらこ 2025/11/23(日) 16:04:53.52",">>55
石破は舐められてたまるかとアメリカに反発してたのに媚米日本人どもがそれに加勢せずにアメリカ様にそんな事を言うなと言ったせいで石破は拗ねたんだろ
媚米高市だったら2倍いってたわ",,>>55,ID:yOvrmiI30(1/12),,,,,,,,
"垢版
|
0070 名無しどんぶらこ 2025/11/23(日) 16:05:13.21",">>64
どう見ても苦言",,>>64,ID:7oqpQ1lm0,1,,,,,,,
"垢版
|
0071 名無しどんぶらこ 2025/11/23(日) 16:05:18.83",さすが中国の犬は言うことが違う,,,ID:xpL7SBwN0,1,,,,,,,
"垢版
|
0072 名無しどんぶらこ 2025/11/23(日) 16:05:40.55",">>68
高市が反中政治をやったから懲り懲りなんだろ
親中石破の時は何も起きなかった",,>>68,ID:yOvrmiI30(2/12),1,,,,,,,
"垢版
|
0073 名無しどんぶらこ 2025/11/23(日) 16:05:50.12",こんなんだから党内人気が無いんだよな,,,ID:kZInO6oA0(1/2),,,,,,,,
"垢版
|
0074 名無しどんぶらこ 2025/11/23(日) 16:06:13.44",無能な石破政権を支えた自民党議員に失礼な事言うな！自民党抜けて日本批判どうぞ,,,ID:mMKGCJ2O0,,,,,,,,
"垢版
|
0075 名無しどんぶらこ 2025/11/23(日) 16:06:13.78","歴代総理は軽々しく時の総理を批判したりしない
石破と鳩山だけクズの双璧",,,ID:MzWTvwaw0(1/7),1,,,,,,,
"垢版
|
0076 名無しどんぶらこ 2025/11/23(日) 16:06:20.98","無責任な石破に
自民党議員がつけたあだ名は、石破逃げる",,,ID:4grmCjpf0(2/2),,,,,,,,
"垢版
|
0077 名無しどんぶらこ 2025/11/23(日) 16:06:23.44",こいつにインタビューすんな,,,ID:3EiGHQ4e0(1/2),,,,,,,,
"垢版
|
0078 名無しどんぶらこ 2025/11/23(日) 16:06:36.74",">>71
アメリカの犬
ノーベル平和賞推薦高市よりマシだろ媚びまくって色々貢いだ上に裏切られたんだから
石破は中国に特に貢いでもないし裏切られてもなかった",,>>71,ID:yOvrmiI30(3/12),,,,,,,,
"垢版
|
0079 名無しどんぶらこ 2025/11/23(日) 16:06:42.12",">>41
それを本当に期待してる。
というか、それをやらないなら石破も同罪。",,>>41,ID:MULdg+xq0,1,,,,,,,
"垢版
|
0080 名無しどんぶらこ 2025/11/23(日) 16:06:58.94","石破が同じ日本人と思いたくない
下品だし",,,ID:3EiGHQ4e0(2/2),,,,,,,,
"垢版
|
0081 名無しどんぶらこ 2025/11/23(日) 16:07:25.51",">>75
高市が石破に同じ事してたから仕返しだろ
無能の分際で石破を叩いてやがった",,>>75,ID:yOvrmiI30(4/12),1,,,,,,,
"垢版
|
0082 警備員[Lv.7][新芽] 2025/11/23(日) 16:07:27.12",">>1
石破は早く帰国しろよ",,>>1,ID:nEgopU2u0,,,,,,,,
"垢版
|
0083 名無しどんぶらこ 2025/11/23(日) 16:07:29.03","言わないといけない事を言ってるだけだろ
何もしないより1000倍上",,,ID:kjFB2+CD0(1/7),1,,,,,,,
"垢版
|
0084 名無しどんぶらこ 2025/11/23(日) 16:07:44.09",">>79
石破、岩屋、村上くらいだろ？",,>>79,ID:MzWTvwaw0(2/7),,,,,,,,
"垢版
|
0085 名無しどんぶらこ 2025/11/23(日) 16:08:11.49",はよハニトラ政治屋リスト公開しろチンク,,,ID:zPfa2Xac0,,,,,,,,
"垢版
|
0086 名無しどんぶらこ 2025/11/23(日) 16:08:18.52","実際は
何の根拠も無く領土問題を吹っ掛けられて
解決する能力も意欲も無いから「棚上げ」とか言って後の世代にツケ回していただけ",,,ID:l7pQr7il0,,,,,,,,
"垢版
|
0087 名無しどんぶらこ 2025/11/23(日) 16:08:22.56",よくもまあコイツは,,,ID:wyfyUyWX0,,,,,,,,
"垢版
|
0088 名無しどんぶらこ 2025/11/23(日) 16:08:24.64",結果論的に中国の対台湾工作に大ダメージ耐えたから良かった可能性がある,,,ID:cdMLZrfd0(1/2),,,,,,,,
"垢版
|
0089 名無しどんぶらこ 2025/11/23(日) 16:08:27.65",">>81
意味わからんからレス付けないでね",,>>81,ID:MzWTvwaw0(3/7),1,,,,,,,
"垢版
|
0090 名無しどんぶらこ 2025/11/23(日) 16:08:28.13","こらっ！ピョン吉！
道路でうんこをしてはいけません

ぐらいの感じだな",,,ID:zWKfD3ng0,,,,,,,,
"垢版
|
0091 名無しどんぶらこ 2025/11/23(日) 16:08:28.16",">>70
てか毎度毎度の石破の自己肯定だわ。
ボロカスに言われて支持率もずんどこの俺が正しかったんだとさ。",,>>70,ID:1rUdrX/c0(1/2),,,,,,,,
"垢版
|
0092 名無しどんぶらこ 2025/11/23(日) 16:08:32.40","石破から高市になって10円近く円安が進んで物価対策がさらに困難に
中国を挑発する発言で国内の産業がダメージ。海外旅行者の1/4が中国人なのに
石破は常に慎重に言葉を選んでいた

苦言で済んでよかったなって話だわな…🥺",,,ID:tYTF9vol0(1/2),,,,,,,,
